Squadron,Location,Aircraft,Note
86th Fighter- Interceptor Squadron,"Youngstown Municipal
Airport",F-102,"Inactivated on 1
March 1960"
87th Fighter- Bomber Squadron,General Mitchell Field,F-86,"Inactivated on 16
November 1957"
87th Fighter- Interceptor Squadron,K.I. Sawyer AFB,F-106,"Inactivated on 1
October 1985"
88th Fighter- Bomber Squadron,General Mitchell Field,F-86,"Inactivated on 16
November 1957"
"88th Fighter Squadron, Single
Engine",Camp Kilmer,P-40,"Inactivated on 3
November 1945"
89th Fighter Squadron,"Wright-
Patterson AFB",F-16,Redesignated 89th Airlift Squadron on 1 October 1994
"89th Fighter Squadron, Single
Engine",Camp Kilmer,P-40,"Inactivated on 3
November 1945"
"90th Fighter
Squadron",Elmendorf AFB,F-22A,
"91st Tactical Fighter
Squadron","RAF
Bentwaters",A-10A,
"92d Tactical Fighter
Squadron","RAF
Bentwaters",A-10A,
93d Fighter Squadron,Homestead ARB,F-16C,
"94th Fighter
Squadron",Langley AFB,F-22A,
"95th Fighter
Squadron",Tyndall AFB,F-22,
96th Fighter- Interceptor Squadron,"New Castle Air Force
Base",F-94B,
97th Fighter- Interceptor Squadron,"New Castle Air Force
Base",F-94C,
98th Fighter- Interceptor Squadron,Suffolk AFB,F- 101B,Inactivated
99th Fighter Squadron,,,"Redesignated 99th Flying Training
Squadron"
"100th Fighter
Squadron",Alabama ANG,F- 16C/D,
